group_key,offset,absolute_address,size,changed_bytes,changed_ratio,unique_window_values,per_run_sha256_16,classification,notes
ff200000_ff208000,0x08f0,0xff2008f0,32,32,1.0,5,"3f842c2930f38925,cc37d635add66320,c457210b54d9d2fb,51b23c49cfcd737d,bafc4724f674cb69",all_runs_unique,possible freshness/session state/random/counter material
ff200000_ff208000,0x0db0,0xff200db0,32,32,1.0,5,"99f66c6a6af6788b,77e3b89b1e35fee9,e7ba1cbf999ba56b,8962f9875fae3715,be0a4d922bcaefa6",all_runs_unique,possible freshness/session state/random/counter material
ff200000_ff208000,0x1270,0xff201270,32,32,1.0,5,"cbe8c1c9a3237874,280964fbcfbc7971,3f4cea8dfe36b8d5,9d0630b3126f516d,f1fcede8464d49ac",all_runs_unique,possible freshness/session state/random/counter material
ff200000_ff208000,0x12b0,0xff2012b0,32,32,1.0,5,"c2faf1e00777ecdd,933661489402dbd7,cf1242eed68faa0b,ceaa00afd538b2a0,3f4cea8dfe36b8d5",all_runs_unique,possible freshness/session state/random/counter material
ff200000_ff208000,0x13b0,0xff2013b0,32,32,1.0,5,"c5ba03b781a83113,54c53c3ee22b7c73,10fb6deb95053622,00757d8818209a91,0165caaf04a73f6b",all_runs_unique,possible freshness/session state/random/counter material
ff200000_ff208000,0x14f0,0xff2014f0,32,32,1.0,5,"7fd52aeb23c86dbb,7c0a093d596f4d86,ceaa00afd538b2a0,b33d0a344d9decfc,ba9adc251620147e",all_runs_unique,possible freshness/session state/random/counter material
ff200000_ff208000,0x15b0,0xff2015b0,32,32,1.0,5,"8c05d9f7a774d6a1,7a5852c2e0599e6a,3f4cea8dfe36b8d5,bc4f29dfeea86e96,178e0022ac424a21",all_runs_unique,possible freshness/session state/random/counter material
ff200000_ff208000,0x1a70,0xff201a70,32,32,1.0,5,"c13bb9f512e5c36a,027811db2eb42301,4054700f7c74a3b7,db80c248cc3fbb7d,6766eb51c937bcd9",all_runs_unique,possible freshness/session state/random/counter material
ff200000_ff208000,0x1d70,0xff201d70,32,32,1.0,5,"140b4dd25fba9a34,8962f9875fae3715,99f66c6a6af6788b,3f4cea8dfe36b8d5,95d56076c7e36266",all_runs_unique,possible freshness/session state/random/counter material
ff200000_ff208000,0x1e30,0xff201e30,32,32,1.0,5,"191dddd05c81da04,3e1da03faf98dfff,04376c6295bf3341,fd9c3d368c6886d4,430eea78771d22bc",all_runs_unique,possible freshness/session state/random/counter material
ff200000_ff208000,0x1ff0,0xff201ff0,32,32,1.0,5,"d8354961beec9a53,98f435c01c229de9,d87fe8f73e613e0c,7813393e0d7c31b4,f545cd3b46390d39",all_runs_unique,possible freshness/session state/random/counter material
ff200000_ff208000,0x22f0,0xff2022f0,32,32,1.0,5,"345f92de9ac72abe,b2b2091a47ebab5f,cbb6d2da3032f509,78210b868d9b863f,e8fd375c8a2dce0a",all_runs_unique,possible freshness/session state/random/counter material
ff200000_ff208000,0x24b0,0xff2024b0,32,32,1.0,5,"58f4c36d741725a6,3fa60e7630d4f8bd,d6fb1e5395afb2d1,0e0bd3caa01759ac,94886234bdf0bdce",all_runs_unique,possible freshness/session state/random/counter material
ff200000_ff208000,0x2670,0xff202670,32,32,1.0,5,"739086d655d4e8b4,1fb2724ece882f46,04376c6295bf3341,aedff461a727cb07,3e1da03faf98dfff",all_runs_unique,possible freshness/session state/random/counter material
ff200000_ff208000,0x2d70,0xff202d70,32,32,1.0,5,"b69343259757f12e,db80c248cc3fbb7d,3f4cea8dfe36b8d5,bf181581a22ab8a1,37fd214e723c7834",all_runs_unique,possible freshness/session state/random/counter material
ff200000_ff208000,0x33b0,0xff2033b0,32,32,1.0,5,"1bf109158f29e606,dd58380401003431,d44c777552a93298,38841f7feb7d47aa,96d91e61bf7f7b0e",all_runs_unique,possible freshness/session state/random/counter material
ff200000_ff208000,0x3470,0xff203470,32,32,1.0,5,"bd5571168a7c911d,ce4866bac5bbfd4f,707a34690f17e245,aedff461a727cb07,ca7c958d5931e68b",all_runs_unique,possible freshness/session state/random/counter material
ff200000_ff208000,0x3630,0xff203630,32,32,1.0,5,"a69d0bb1fd55f593,3bd63649a00390a7,facc7d50ed3b5ce6,1b305de06e0f0db8,482317e99db8eb0e",all_runs_unique,possible freshness/session state/random/counter material
ff200000_ff208000,0x3fb0,0xff203fb0,32,32,1.0,5,"04376c6295bf3341,ffbb4548dc34dd7c,30c6fca11b3a8381,ffd39d57a8b092f0,8c27af1d08c2cdb9",all_runs_unique,possible freshness/session state/random/counter material
